id,smirks,sources
EVODEX.0-N1942,[H][O:10][C:9]>>[H]OS(=O)(=O)[O:10][C:9],"EVODEX.0-P31350,EVODEX.0-P31356"
EVODEX.0-N2067,[H]OP(=O)(O[H])O[C:7]([C:8])([H:31])[H:32].[H][O:1][H:52]>>[O:1]([C:7]([C:8])([H:31])[H:32])[H:52],"EVODEX.0-P33626,EVODEX.0-P33631"
EVODEX.0-N2068,[H]OP(=O)(O[H])O[C:7]([C:8])([H:31])[H:32]>>[H]O[C:7]([C:8])([H:31])[H:32],"EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-N2071,[H]OP(=O)(O[H])O[C@:2]([C:1])([C:8])[H:17].[H][O:13][H:24]>>[C:1][C@:2]([C:8])([O:13][H:24])[H:17],"EVODEX.0-P33659,EVODEX.0-P33717"
EVODEX.0-N2072,[H]OP(=O)(O[H])O[C@:12]([C:10])([C:18])[H:57]>>[H]O[C@:12]([C:10])([C:18])[H:57],"EVODEX.0-P33661,EVODEX.0-P33718"
EVODEX.0-N2286,[H]C1:C(N([H])[C:11](=[O:12])[C:13]):C([H]):C2:O:C(=O):C([H]):C(C([H])([H])[H]):C:2:C:1[H].[H][O:49][H:95]>>[C:11](=[O:12])([C:13])[O:49][H:95],"EVODEX.0-P37507,EVODEX.0-P37600"
EVODEX.0-N2287,[H]C1:C(N([H])[C:11](=[O:12])[C:13]):C([H]):C2:O:C(=O):C([H]):C(C([H])([H])[H]):C:2:C:1[H]>>[H]O[C:11](=[O:12])[C:13],"EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-N2398,[N:1](=[C:2]([N:3])[N:4])[H:14].[H][O:13][H]>>[H][N:1]([C:2]([N:3])=[O:13])[H:14].[H][N:4],"EVODEX.0-P39159,EVODEX.0-P41326"
EVODEX.0-N2496,[H]N([H])[C:2](=[O:3])[N:4].[H][O:10][H]>>[C:2](=[O:3])=[O:10].[H][N:4],"EVODEX.0-P42350,EVODEX.0-P42360"
EVODEX.0-N2497,[N:1][C:2](=[O:3])[N:4]>>O=[C:2]=[O:3].[H][N:4].[H][N:1],"EVODEX.0-P42351,EVODEX.0-P42365"
EVODEX.0-N2769,[H][O:5][C@@:4]([C:3])([C:6])[H:17]>>[C:4](=[O:5])([C:6])[H:17].[H][C:3],"EVODEX.0-P46793,EVODEX.0-P46802"
EVODEX.0-N3061,[H][N:1]([C:2])[H:81].[H]O[C:44]([C:43])=[O:45].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])[O:72][P:73]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[H][O:72][P:73],"EVODEX.0-P49527,EVODEX.0-P51657"
EVODEX.0-N3063,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].[H]OP(=O)(O[H])O[P:69]([O:68])(=[O:70])[O:71]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130],"EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-N3064,[H][S:48][C:47].[O:63][P:64](=[O:65])([O:66])[O:67].[O:80]=[C:81]([O:82][H:142])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[H][O:67],"EVODEX.0-P49531,EVODEX.0-P49560"
EVODEX.0-N3065,[H][S:48][C:47].[H]OP(=O)(O[H])OP(=O)(O[H])O[P:64]([O:63])(=[O:65])[O:66].[O:80]=[C:81]([O:82][H:142])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82][H:142],"EVODEX.0-P49532,EVODEX.0-P49561"
EVODEX.0-N3066,[O:63][P:64](=[O:65])([O:66])[O:67].[C:81][O:82][H:142]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[H][O:67],"EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-N3067,[H][S:48][C:47].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])[O:67][P:68].[H]O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[H][O:67][P:68],"EVODEX.0-P49534,EVODEX.0-P49595"
EVODEX.0-N3068,[H]OP(=O)(O[H])OP(=O)(O[H])O[P:64]([O:63])(=[O:65])[O:66].[C:81][O:82][H:142]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[O:63][P:64](=[O:65])([O:66])[O:82][H:142],"EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-N3069,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])[O:67][P:68].[H]O[C:81](=[O:80])[C:83]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:81](=[O:80])[C:83])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:67][P:68],"EVODEX.0-P49537,EVODEX.0-P49603"
EVODEX.0-N3071,[H][S:48][C:47].[O:80]=[C:81]([O:82])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])[O:82],"EVODEX.0-P49539,EVODEX.0-P49597"
EVODEX.0-N3182,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])[O:46],"EVODEX.0-P51658,EVODEX.0-P51692"
