id,mass,sources,formula_diff
EVODEX.2.1-M244,749.10492,"EVODEX.2.1-P6303,EVODEX.2.1-P6307,EVODEX.2.1-P6311,EVODEX.2.1-P6313,EVODEX.2.1-P6325","{""C"": 21, ""H"": 34, ""N"": 7, ""O"": 15, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M92,765.0998199999999,"EVODEX.2.1-P714,EVODEX.2.1-P726,EVODEX.2.1-P735,EVODEX.2.1-P771,EVODEX.2.1-P772,EVODEX.2.1-P774,EVODEX.2.1-P836,EVODEX.2.1-P840,EVODEX.2.1-P857,EVODEX.2.1-P884","{""C"": 21, ""H"": 34, ""N"": 7, ""O"": 16, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M51,767.1154799999999,"EVODEX.2.1-P1602,EVODEX.2.1-P1626,EVODEX.2.1-P1716,EVODEX.2.1-P1723,EVODEX.2.1-P1733,EVODEX.2.1-P1734,EVODEX.2.1-P1736,EVODEX.2.1-P1843,EVODEX.2.1-P1844,EVODEX.2.1-P1852","{""C"": 21, ""H"": 36, ""N"": 7, ""O"": 16, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M245,320.30809999999997,"EVODEX.2.1-P1689,EVODEX.2.1-P1765,EVODEX.2.1-P1807,EVODEX.2.1-P1808,EVODEX.2.1-P1809","{""C"": 22, ""H"": 40, ""O"": 1}"
EVODEX.2.1-M246,485.23893,"EVODEX.2.1-P4824,EVODEX.2.1-P4825,EVODEX.2.1-P4832,EVODEX.2.1-P4834,EVODEX.2.1-P4837","{""C"": 23, ""H"": 31, ""N"": 7, ""O"": 5}"
EVODEX.2.1-M247,503.24949000000004,"EVODEX.2.1-P4817,EVODEX.2.1-P4829,EVODEX.2.1-P4833,EVODEX.2.1-P4835,EVODEX.2.1-P4838","{""C"": 23, ""H"": 33, ""N"": 7, ""O"": 6}"
EVODEX.2.1-M248,809.1260399999999,"EVODEX.2.1-P1597,EVODEX.2.1-P1604,EVODEX.2.1-P1605,EVODEX.2.1-P1686,EVODEX.2.1-P1687","{""C"": 23, ""H"": 38, ""N"": 7, ""O"": 17, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M249,851.1365999999998,"EVODEX.2.1-P3388,EVODEX.2.1-P3390,EVODEX.2.1-P3396,EVODEX.2.1-P3398,EVODEX.2.1-P3402","{""C"": 25, ""H"": 40, ""N"": 7, ""O"": 18, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M250,867.1315,"EVODEX.2.1-P3353,EVODEX.2.1-P3371,EVODEX.2.1-P3375,EVODEX.2.1-P3379,EVODEX.2.1-P3380","{""C"": 25, ""H"": 40, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M535,879.1315,"EVODEX.2.1-P3356,EVODEX.2.1-P3358,EVODEX.2.1-P3359,EVODEX.2.1-P3361","{""C"": 26, ""H"": 40, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M612,881.14716,EVODEX.2.1-P3368,"{""C"": 26, ""H"": 42, ""N"": 7, ""O"": 19, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M251,861.17193,"EVODEX.2.1-P6510,EVODEX.2.1-P6516,EVODEX.2.1-P6520,EVODEX.2.1-P6525,EVODEX.2.1-P6531","{""C"": 28, ""H"": 41, ""N"": 5, ""O"": 22, ""P"": 2}"
EVODEX.2.1-M39,42.01056,"EVODEX.2.1-P1628,EVODEX.2.1-P1699,EVODEX.2.1-P1714,EVODEX.2.1-P1728,EVODEX.2.1-P1729,EVODEX.2.1-P1737,EVODEX.2.1-P1738,EVODEX.2.1-P1772,EVODEX.2.1-P1823,EVODEX.2.1-P1828,EVODEX.2.1-P1831,EVODEX.2.1-P1834,EVODEX.2.1-P1839,EVODEX.2.1-P1840,EVODEX.2.1-P1926,EVODEX.2.1-P1939,EVODEX.2.1-P1947,EVODEX.2.1-P1948,EVODEX.2.1-P1949,EVODEX.2.1-P3575,EVODEX.2.1-P5549","{""C"": 2, ""H"": 2, ""O"": 1}"
